timestamp,price,quantity
3,1965,6
5,1970,1
13,1970,2
13,1968,5
14,1969,1
15,1971,1
20,1972,7
24,1975,10
31,1972,1
37,1973,1
37,1972,4
38,1971,11
42,1971,3
42,1971,2
43,1970,1
44,1971,1
48,1973,1
54,1973,6
63,1973,1
68,1975,1
68,1975,1
69,1975,1
72,1979,1
73,1975,15
77,1976,1
77,1976,1
78,1976,1
79,1974,1
81,1976,14
83,1980,11
96,1983,1
96,1983,1
103,1985,2
107,1981,6
108,1981,1
113,1983,6
121,1979,15
133,1974,1
136,1976,5
140,1976,1
143,1974,1
145,1976,1
145,1977,2
148,1977,1
150,1977,1
152,1977,7
154,1974,1
155,1975,1
155,1972,4
158,1973,2
158,1973,9
162,1970,1
162,1970,3
167,1966,1
168,1968,2
171,1964,1
180,1965,5
182,1968,1
187,1966,5
187,1966,3
189,1967,2
190,1964,1
190,1966,2
201,1972,12
206,1973,1
208,1972,1
211,1972,2
213,1975,1
216,1976,1
219,1977,1
220,1977,1
220,1978,2
221,1976,1
221,1976,1
227,1982,9
233,1983,2
237,1984,5
242,1986,1
242,1984,14
245,1984,1
247,1985,1
251,1984,2
253,1978,1
254,1981,1
264,1974,1
265,1982,2
265,1981,1
267,1976,2
274,1969,2
277,1970,3
280,1974,1
281,1971,1
281,1972,3
286,1971,1
290,1973,1
292,1971,2
293,1972,1
300,1969,1
301,1970,5
307,1960,1
312,1963,1
315,1964,1
317,1966,1
322,1963,1
328,1957,5
336,1955,1
339,1959,2
342,1957,1
342,1957,1
343,1957,1
343,1957,10
344,1957,1
349,1959,1
352,1958,1
356,1957,1
359,1960,1
367,1957,1
368,1961,3
371,1963,1
374,1958,9
377,1959,1
379,1959,1
379,1957,9
381,1955,1
384,1957,1
385,1958,1
394,1961,1
396,1957,9
397,1961,1
408,1950,9
414,1938,1
415,1942,2
419,1944,2
422,1949,2
423,1947,1
423,1946,4
423,1946,2
423,1948,1
425,1946,1
427,1949,1
432,1949,2
434,1947,1
441,1948,1
441,1948,2
445,1947,1
447,1948,1
451,1947,7
453,1947,1
453,1950,15
456,1949,1
463,1948,1
464,1948,10
465,1946,1
468,1948,5
469,1949,1
470,1948,2
471,1947,1
472,1949,1
472,1949,3
472,1949,1
476,1945,2
483,1950,1
484,1953,5
489,1952,1
491,1951,2
501,1956,8
501,1956,2
506,1954,1
513,1948,9
516,1949,13
520,1951,3
520,1951,1
520,1951,6
523,1949,1
523,1948,5
526,1948,15
527,1947,2
532,1952,12
534,1951,1
