timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,58705,12,58704,27,,,58716,12,58717,27,,
1,58706,1,58705,12,58704,20,58715,1,58716,12,58717,20
2,58707,1,58706,15,58705,26,58716,1,58717,15,58718,26
3,58705,14,58704,16,,,58716,14,58717,16,,
4,58699,2,58698,16,58697,15,58708,2,58709,16,58710,15
5,58697,17,58696,20,,,58707,1,58708,36,,
6,58695,2,58694,17,58693,18,58704,2,58705,17,58706,18
7,58688,1,58687,11,58686,30,58697,1,58698,11,58699,30
8,58686,1,58685,19,58684,22,58695,1,58696,19,58697,22
9,58688,1,58687,32,,,58698,13,58699,20,,
10,58693,1,58692,19,58691,26,58702,1,58703,19,58704,26
11,58687,1,58686,14,58685,23,58696,1,58697,14,58698,23
12,58681,1,58680,17,58679,16,58690,1,58691,17,58692,16
13,58683,12,58682,29,,,58694,12,58695,29,,
14,58691,15,58690,29,,,58702,15,58703,29,,
15,58690,1,58689,18,58688,30,58699,1,58700,18,58701,30
16,58688,2,58687,15,58686,17,58697,2,58698,15,58699,17
17,58688,11,58687,22,,,58699,11,58700,22,,
18,58685,10,58684,30,,,58696,40,,,,
19,58687,2,58686,18,58685,29,58696,2,58697,18,58698,29
20,58687,2,58686,20,58685,25,58696,2,58697,20,58698,25
21,58687,2,58686,17,58685,21,58696,2,58697,17,58698,21
22,58680,1,58679,14,58678,26,58689,1,58690,14,58691,26
23,58677,44,,,,,58678,1,58687,2,58688,20
24,58674,2,58673,10,58672,17,58683,2,58684,10,58685,17
25,58671,2,58670,16,58669,21,58680,2,58681,16,58682,21
26,58675,1,58674,16,58673,16,58684,1,58685,16,58686,16
27,58672,2,58671,14,58670,19,58681,2,58682,14,58683,19
28,58671,17,58670,23,,,58682,17,58683,23,,
29,58671,2,58670,14,58669,25,58680,2,58681,14,58682,25
30,58679,14,58678,16,,,58689,1,58690,29,,
31,58679,5,58675,1,58674,20,58684,1,58685,20,58686,16
32,58682,5,58677,19,58676,29,58688,48,,,,
33,58671,1,58670,10,58669,16,58680,1,58681,10,58682,16
34,58674,2,58673,10,58672,19,58683,2,58684,10,58685,19
35,58679,18,58678,28,,,58690,18,58691,28,,
36,58676,11,58675,29,,,58687,11,58688,29,,
37,58674,17,58673,26,,,58685,17,58686,26,,
38,58684,5,58679,17,58678,27,58690,17,58691,27,,
39,58675,2,58674,10,58673,27,58684,2,58685,10,58686,27
40,58681,1,58680,16,58679,16,58690,1,58691,16,58692,16
41,58677,2,58676,20,58675,26,58686,2,58687,20,58688,26
42,58674,1,58673,13,58672,26,58683,1,58684,13,58685,26
