timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,2028,30,,,,,2032,30,,,,
1,2030,4,2028,31,,,2032,31,,,,
2,2029,1,2028,21,,,2032,22,,,,
3,2029,25,,,,,2032,25,,,,
4,2029,2,2028,23,,,2030,6,2032,25,,
5,2028,24,,,,,2031,24,,,,
6,2028,26,,,,,2031,26,,,,
7,2029,5,2028,27,,,2032,27,,,,
8,2028,26,,,,,2032,26,,,,
9,2029,29,,,,,2032,29,,,,
10,2029,28,,,,,2032,28,,,,
11,2029,31,,,,,2032,25,,,,
12,2030,8,2029,30,,,2033,30,,,,
13,2029,28,,,,,2030,5,2033,28,,
14,2029,25,,,,,2033,26,,,,
15,2032,1,2029,22,,,2033,22,,,,
16,2029,23,,,,,2033,23,,,,
17,2029,27,,,,,2031,8,2033,27,,
18,2030,8,2029,27,,,2033,27,,,,
19,2030,31,,,,,2033,31,,,,
20,2030,19,,,,,2033,26,,,,
21,2030,23,,,,,2034,23,,,,
22,2030,32,,,,,2034,32,,,,
23,2030,24,,,,,2033,24,,,,
24,2032,10,2030,25,,,2033,25,,,,
25,2030,21,,,,,2033,1,2034,20,,
26,2030,25,,,,,2034,25,,,,
27,2030,25,,,,,2032,3,2033,1,2034,24
28,2033,1,2030,29,,,2034,29,,,,
29,2030,25,,,,,2034,25,,,,
30,2030,31,,,,,2034,31,,,,
31,2031,27,,,,,2034,28,,,,
32,2031,2,2030,30,,,2034,32,,,,
33,2031,28,,,,,2034,28,,,,
34,2030,29,,,,,2034,29,,,,
35,2031,30,,,,,2034,30,,,,
36,2031,23,,,,,2034,21,,,,
37,2031,2,2030,29,,,2032,4,2034,31,,
38,2030,30,,,,,2032,2,2033,30,,
39,2030,25,,,,,2033,25,,,,
40,2030,34,,,,,2033,29,,,,
41,2030,31,,,,,2033,24,,,,
42,2030,31,,,,,2033,28,,,,
43,2030,31,,,,,2033,31,,,,
44,2030,34,,,,,2033,27,,,,
45,2030,5,2029,27,,,2033,27,,,,
46,2029,22,,,,,2032,1,2033,21,,
47,2029,27,,,,,2031,1,2032,27,,
48,2029,25,,,,,2031,3,2032,25,,
49,2029,22,,,,,2032,22,,,,
50,2029,1,2028,22,,,2030,1,2032,23,,
51,2031,1,2028,25,,,2032,25,,,,
52,2029,2,2028,22,,,2032,24,,,,
53,2029,25,,,,,2032,25,,,,
54,2029,27,,,,,2030,6,2032,27,,
55,2029,36,,,,,2032,30,,,,
56,2031,2,2029,27,,,2032,1,2033,26,,
57,2029,25,,,,,2031,5,2033,25,,
58,2031,1,2029,24,,,2033,24,,,,
59,2030,9,2029,21,,,2033,21,,,,
60,2029,24,,,,,2032,2,2033,22,,
61,2029,25,,,,,2030,5,2033,25,,
62,2029,30,,,,,2033,30,,,,
63,2029,24,,,,,2033,25,,,,
64,2030,4,2029,23,,,2032,23,,,,
65,2031,3,2029,20,,,2032,20,,,,
66,2029,27,,,,,2032,27,,,,
67,2029,33,,,,,2032,28,,,,
68,2029,24,,,,,2033,24,,,,
69,2030,28,,,,,2032,4,2033,28,,
70,2031,6,2030,29,,,2033,29,,,,
71,2030,30,,,,,2033,30,,,,
72,2030,23,,,,,2033,23,,,,
73,2030,25,,,,,2033,25,,,,
74,2030,30,,,,,2032,6,2033,30,,
75,2030,29,,,,,2033,29,,,,
76,2030,26,,,,,2033,26,,,,
77,2030,28,,,,,2032,5,2033,28,,
78,2032,1,2030,23,,,2033,23,,,,
79,2032,1,2030,26,,,2033,26,,,,
80,2030,6,2029,22,,,2033,23,,,,
81,2030,5,2029,22,,,2033,22,,,,
82,2030,20,,,,,2032,8,2033,20,,
83,2030,27,,,,,2033,27,,,,
84,2030,34,,,,,2033,26,,,,
85,2030,30,,,,,2033,30,,,,
86,2030,23,,,,,2032,4,2033,23,,
87,2030,30,,,,,2032,6,2033,30,,
88,2030,24,,,,,2033,23,,,,
89,2030,27,,,,,2033,27,,,,
90,2030,23,,,,,2033,23,,,,
91,2030,31,,,,,2033,31,,,,
92,2030,24,,,,,2032,7,2033,24,,
93,2032,4,2030,28,,,2033,23,,,,
94,2030,24,,,,,2033,24,,,,
95,2030,29,,,,,2032,4,2033,29,,
96,2030,14,,,,,2033,20,,,,
97,2029,25,,,,,2033,25,,,,
98,2030,21,,,,,2033,21,,,,
99,2030,22,,,,,2033,22,,,,
100,2030,31,,,,,2033,31,,,,
101,2032,4,2030,22,,,2033,22,,,,
102,2030,25,,,,,2033,25,,,,
103,2030,22,,,,,2033,22,,,,
104,2030,30,,,,,2032,5,2033,30,,
105,2030,28,,,,,2033,28,,,,
106,2030,23,,,,,2032,3,2033,23,,
107,2029,23,,,,,2033,23,,,,
108,2029,22,,,,,2033,23,,,,
109,2029,30,,,,,2033,30,,,,
110,2029,30,,,,,2032,1,2033,29,,
111,2029,31,,,,,2033,31,,,,
112,2029,29,,,,,2032,1,2033,28,,
113,2029,27,,,,,2033,27,,,,
114,2029,24,,,,,2033,24,,,,
115,2030,7,2029,29,,,2033,29,,,,
116,2029,26,,,,,2031,6,2033,26,,
117,2029,22,,,,,2033,22,,,,
118,2029,21,,,,,2033,21,,,,
119,2029,25,,,,,2033,25,,,,
120,2030,25,,,,,2033,25,,,,
121,2030,2,2029,20,,,2033,22,,,,
122,2029,28,,,,,2033,28,,,,
123,2030,28,,,,,2031,6,2033,24,,
124,2030,30,,,,,2033,30,,,,
125,2030,31,,,,,2032,8,2033,31,,
126,2030,31,,,,,2033,31,,,,
127,2030,31,,,,,2033,31,,,,
128,2030,31,,,,,2032,3,2033,31,,
129,2030,24,,,,,2032,4,2033,24,,
130,2029,27,,,,,2033,27,,,,
131,2031,2,2030,7,2029,30,2032,2,2033,28,,
132,2030,28,,,,,2032,3,2033,28,,
133,2030,28,,,,,2032,6,2033,28,,
134,2030,34,,,,,2033,26,,,,
135,2030,35,,,,,2033,30,,,,
136,2032,5,2030,25,,,2033,25,,,,
137,2031,3,2030,30,,,2034,30,,,,
138,2030,25,,,,,2034,25,,,,
139,2030,20,,,,,2034,20,,,,
140,2033,1,2030,27,,,2034,27,,,,
141,2032,3,2030,24,,,2034,24,,,,
142,2030,24,,,,,2034,24,,,,
143,2030,30,,,,,2031,1,2034,30,,
144,2030,23,,,,,2032,4,2034,23,,
145,2030,22,,,,,2031,2,2032,1,2034,23
146,2030,21,,,,,2034,21,,,,
147,2030,26,,,,,2034,26,,,,
148,2030,22,,,,,2032,5,2034,23,,
149,2030,30,,,,,2034,30,,,,
150,2030,22,,,,,2034,23,,,,
151,2033,1,2030,26,,,2034,26,,,,
152,2030,25,,,,,2031,3,2034,25,,
153,2031,4,2030,24,,,2034,24,,,,
154,2030,26,,,,,2032,3,2034,26,,
155,2030,20,,,,,2032,5,2033,20,,
156,2031,8,2030,24,,,2033,1,2034,23,,
157,2030,22,,,,,2033,22,,,,
158,2030,26,,,,,2032,3,2033,26,,
159,2030,27,,,,,2033,27,,,,
160,2030,35,,,,,2033,27,,,,
161,2030,29,,,,,2033,29,,,,
162,2032,1,2030,21,,,2033,21,,,,
163,2030,31,,,,,2032,2,2033,31,,
164,2030,20,,,,,2033,24,,,,
165,2030,27,,,,,2032,6,2033,27,,
166,2030,25,,,,,2033,25,,,,
167,2030,23,,,,,2033,24,,,,
168,2030,32,,,,,2033,32,,,,
169,2030,30,,,,,2033,24,,,,
170,2030,23,,,,,2033,23,,,,
171,2030,30,,,,,2033,31,,,,
172,2030,26,,,,,2033,26,,,,
173,2030,28,,,,,2032,2,2033,28,,
174,2030,29,,,,,2033,25,,,,
175,2030,24,,,,,2033,24,,,,
176,2030,27,,,,,2033,27,,,,
177,2030,24,,,,,2033,24,,,,
178,2030,23,,,,,2033,23,,,,
179,2030,30,,,,,2033,30,,,,
180,2032,5,2030,28,,,2033,28,,,,
181,2030,21,,,,,2033,21,,,,
182,2032,1,2030,2,2029,23,2033,24,,,,
183,2030,2,2029,29,,,2033,29,,,,
184,2029,30,,,,,2031,3,2033,30,,
185,2029,32,,,,,2033,32,,,,
186,2029,31,,,,,2031,7,2033,31,,
187,2029,27,,,,,2031,3,2033,27,,
188,2029,24,,,,,2031,8,2033,24,,
189,2030,4,2029,28,,,2033,28,,,,
190,2031,5,2029,25,,,2033,25,,,,
191,2030,1,2029,28,,,2031,12,2033,29,,
192,2030,1,2029,28,,,2033,29,,,,
193,2030,5,2029,30,,,2033,32,,,,
194,2030,5,2029,20,,,2033,21,,,,
195,2030,23,,,,,2033,22,,,,
196,2030,31,,,,,2033,31,,,,
197,2030,25,,,,,2033,25,,,,
198,2030,20,,,,,2033,20,,,,
199,2030,28,,,,,2033,28,,,,
200,2030,29,,,,,2033,29,,,,
201,2030,31,,,,,2033,31,,,,
202,2030,29,,,,,2033,29,,,,
203,2030,23,,,,,2033,23,,,,
204,2030,24,,,,,2033,24,,,,
205,2032,10,2030,30,,,2033,30,,,,
206,2030,23,,,,,2033,23,,,,
207,2030,31,,,,,2033,31,,,,
208,2032,1,2030,25,,,2033,25,,,,
209,2030,24,,,,,2033,24,,,,
210,2030,27,,,,,2033,27,,,,
211,2030,30,,,,,2033,30,,,,
212,2030,23,,,,,2033,23,,,,
213,2030,28,,,,,2032,5,2034,29,,
214,2030,30,,,,,2034,30,,,,
215,2030,24,,,,,2032,5,2034,24,,
216,2030,28,,,,,2034,29,,,,
217,2030,31,,,,,2034,31,,,,
218,2030,28,,,,,2034,29,,,,
219,2031,1,2030,30,,,2034,30,,,,
220,2031,4,2030,24,,,2032,2,2034,24,,
221,2031,24,,,,,2034,25,,,,
222,2031,28,,,,,2033,6,2034,28,,
223,2031,30,,,,,2034,30,,,,
224,2031,26,,,,,2034,26,,,,
225,2031,27,,,,,2034,27,,,,
226,2031,27,,,,,2034,27,,,,
227,2031,28,,,,,2034,28,,,,
228,2031,30,,,,,2034,30,,,,
229,2031,26,,,,,2034,26,,,,
230,2031,26,,,,,2034,26,,,,
231,2031,1,2030,23,,,2034,24,,,,
232,2030,26,,,,,2034,26,,,,
233,2032,2,2031,22,,,2033,3,2034,22,,
234,2030,21,,,,,2034,21,,,,
235,2031,28,,,,,2034,28,,,,
236,2031,21,,,,,2033,2,2034,21,,
237,2031,24,,,,,2034,24,,,,
238,2031,23,,,,,2034,23,,,,
239,2033,1,2031,20,,,2034,20,,,,
240,2031,1,2030,22,,,2034,23,,,,
241,2030,26,,,,,2032,5,2034,26,,
242,2032,1,2030,27,,,2034,27,,,,
243,2030,23,,,,,2034,23,,,,
244,2030,25,,,,,2034,25,,,,
245,2031,2,2030,21,,,2034,21,,,,
246,2030,27,,,,,2034,27,,,,
247,2030,22,,,,,2034,22,,,,
248,2030,28,,,,,2034,28,,,,
249,2030,30,,,,,2032,1,2034,30,,
250,2031,8,2030,27,,,2034,27,,,,
251,2030,23,,,,,2034,23,,,,
252,2031,1,2030,24,,,2034,26,,,,
253,2031,2,2030,24,,,2034,26,,,,
254,2030,32,,,,,2034,32,,,,
255,2030,25,,,,,2032,1,2034,25,,
256,2033,1,2030,31,,,2034,31,,,,
257,2031,1,2030,22,,,2032,4,2034,23,,
258,2032,2,2031,28,,,2034,28,,,,
259,2030,28,,,,,2033,3,2034,28,,
260,2031,24,,,,,2034,24,,,,
261,2031,25,,,,,2034,25,,,,
262,2031,26,,,,,2034,26,,,,
263,2031,26,,,,,2034,24,,,,
264,2031,28,,,,,2034,29,,,,
265,2033,1,2031,26,,,2034,24,,,,
266,2031,22,,,,,2034,22,,,,
267,2031,24,,,,,2032,4,2034,24,,
268,2031,24,,,,,2034,24,,,,
269,2031,27,,,,,2034,27,,,,
270,2031,31,,,,,2034,31,,,,
271,2031,24,,,,,2034,24,,,,
272,2031,31,,,,,2034,31,,,,
273,2032,5,2031,33,,,2034,27,,,,
274,2031,22,,,,,2034,25,,,,
275,2031,26,,,,,2034,26,,,,
276,2031,23,,,,,2034,23,,,,
277,2033,3,2031,26,,,2034,26,,,,
278,2031,28,,,,,2034,28,,,,
279,2031,33,,,,,2034,26,,,,
280,2031,24,,,,,2034,24,,,,
281,2031,20,,,,,2034,22,,,,
282,2031,30,,,,,2034,30,,,,
283,2031,24,,,,,2033,7,2034,24,,
284,2031,21,,,,,2034,21,,,,
285,2033,1,2031,31,,,2034,31,,,,
286,2031,30,,,,,2033,7,2034,31,,
287,2031,33,,,,,2034,25,,,,
288,2031,22,,,,,2034,22,,,,
289,2031,25,,,,,2034,22,,,,
290,2031,24,,,,,2034,24,,,,
291,2030,31,,,,,2032,6,2034,31,,
292,2030,20,,,,,2032,2,2034,20,,
293,2030,25,,,,,2031,1,2034,25,,
294,2030,24,,,,,2033,1,2034,23,,
295,2030,29,,,,,2033,24,,,,
296,2030,20,,,,,2034,20,,,,
297,2030,27,,,,,2033,1,2034,26,,
298,2030,30,,,,,2033,1,2034,29,,
299,2030,27,,,,,2031,6,2034,27,,
300,2032,1,2030,21,,,2034,21,,,,
301,2030,22,,,,,2032,1,2034,22,,
302,2030,24,,,,,2033,2,2034,22,,
303,2030,30,,,,,2032,2,2033,30,,
304,2030,23,,,,,2033,23,,,,
305,2030,29,,,,,2032,7,2033,29,,
306,2030,30,,,,,2032,8,2033,30,,
307,2030,22,,,,,2033,23,,,,
308,2030,32,,,,,2033,29,,,,
309,2030,29,,,,,2033,23,,,,
310,2030,20,,,,,2033,20,,,,
311,2030,22,,,,,2033,22,,,,
312,2030,28,,,,,2033,29,,,,
313,2030,30,,,,,2032,7,2033,30,,
314,2030,37,,,,,2033,32,,,,
315,2030,22,,,,,2032,1,2033,23,,
316,2030,32,,,,,2033,32,,,,
317,2030,29,,,,,2033,29,,,,
318,2030,21,,,,,2033,21,,,,
319,2030,29,,,,,2033,29,,,,
320,2030,30,,,,,2031,4,2032,8,2033,30
321,2030,31,,,,,2032,6,2033,31,,
322,2032,1,2030,26,,,2033,26,,,,
323,2030,26,,,,,2033,26,,,,
324,2029,29,,,,,2030,1,2033,29,,
325,2032,1,2029,25,,,2033,25,,,,
326,2029,30,,,,,2031,8,2033,30,,
327,2029,27,,,,,2032,27,,,,
328,2029,23,,,,,2030,5,2031,3,2033,23
329,2030,24,,,,,2032,6,2033,24,,
330,2030,28,,,,,2032,6,2033,28,,
331,2030,24,,,,,2032,2,2033,24,,
332,2030,31,,,,,2033,25,,,,
333,2030,26,,,,,2033,26,,,,
334,2030,27,,,,,2032,6,2033,27,,
335,2030,25,,,,,2032,8,2033,25,,
336,2030,26,,,,,2033,27,,,,
337,2030,28,,,,,2033,23,,,,
338,2029,26,,,,,2033,26,,,,
339,2030,8,2029,24,,,2033,24,,,,
340,2030,6,2029,25,,,2033,25,,,,
341,2029,27,,,,,2033,27,,,,
342,2030,1,2029,27,,,2033,27,,,,
343,2030,1,2029,20,,,2033,22,,,,
344,2030,24,,,,,2033,25,,,,
345,2030,25,,,,,2032,6,2033,25,,
346,2030,22,,,,,2032,2,2033,22,,
347,2029,29,,,,,2033,29,,,,
348,2031,2,2029,24,,,2033,24,,,,
349,2029,24,,,,,2030,1,2033,24,,
350,2030,3,2029,22,,,2033,22,,,,
351,2030,27,,,,,2033,26,,,,
352,2030,23,,,,,2032,5,2033,24,,
353,2030,24,,,,,2034,24,,,,
354,2030,22,,,,,2032,7,2033,22,,
355,2030,24,,,,,2034,25,,,,
356,2030,26,,,,,2033,1,2034,26,,
357,2030,27,,,,,2033,1,2034,26,,
358,2030,30,,,,,2033,2,2034,28,,
359,2030,30,,,,,2032,6,2034,30,,
360,2030,28,,,,,2034,28,,,,
361,2030,26,,,,,2033,26,,,,
362,2030,31,,,,,2033,30,,,,
363,2030,21,,,,,2033,22,,,,
364,2030,28,,,,,2032,1,2033,28,,
365,2029,27,,,,,2033,27,,,,
366,2029,21,,,,,2033,21,,,,
367,2030,29,,,,,2033,30,,,,
368,2031,3,2030,27,,,2033,27,,,,
369,2029,31,,,,,2033,31,,,,
370,2030,3,2029,23,,,2033,23,,,,
371,2032,1,2029,24,,,2033,24,,,,
372,2029,22,,,,,2033,22,,,,
373,2029,27,,,,,2033,27,,,,
374,2029,23,,,,,2033,23,,,,
375,2032,1,2030,37,,,2033,29,,,,
376,2029,26,,,,,2033,26,,,,
377,2032,1,2030,1,2029,28,2033,29,,,,
378,2030,8,2029,27,,,2033,29,,,,
379,2030,20,,,,,2031,3,2033,29,,
380,2030,29,,,,,2033,25,,,,
381,2030,27,,,,,2033,28,,,,
382,2030,23,,,,,2033,23,,,,
383,2030,27,,,,,2033,27,,,,
384,2030,20,,,,,2033,21,,,,
385,2032,1,2030,29,,,2033,25,,,,
386,2030,27,,,,,2033,27,,,,
387,2032,4,2030,30,,,2033,30,,,,
388,2032,4,2030,27,,,2033,27,,,,
389,2030,26,,,,,2032,7,2033,26,,
390,2030,29,,,,,2033,29,,,,
391,2030,30,,,,,2032,6,2033,30,,
392,2032,1,2030,24,,,2033,24,,,,
393,2030,27,,,,,2033,27,,,,
394,2029,29,,,,,2032,2,2033,27,,
395,2029,22,,,,,2033,22,,,,
396,2029,22,,,,,2033,22,,,,
397,2029,20,,,,,2033,20,,,,
398,2029,31,,,,,2032,31,,,,
399,2029,2,2028,30,,,2032,32,,,,
400,2029,1,2028,30,,,2032,31,,,,
401,2028,27,,,,,2032,27,,,,
402,2029,1,2028,22,,,2032,23,,,,
403,2028,25,,,,,2029,2,2032,25,,
404,2029,1,2028,20,,,2032,21,,,,
405,2029,24,,,,,2032,24,,,,
406,2029,26,,,,,2032,26,,,,
407,2029,26,,,,,2032,26,,,,
408,2029,29,,,,,2032,29,,,,
409,2028,22,,,,,2032,22,,,,
410,2029,22,,,,,2032,22,,,,
411,2029,23,,,,,2032,23,,,,
412,2031,3,2029,26,,,2032,26,,,,
413,2029,21,,,,,2030,6,2032,1,2033,20
414,2029,22,,,,,2033,23,,,,
415,2029,30,,,,,2030,2,2033,30,,
416,2029,28,,,,,2032,28,,,,
417,2029,20,,,,,2032,20,,,,
418,2029,35,,,,,2032,30,,,,
419,2028,30,,,,,2029,2,2030,7,2032,30
420,2029,2,2028,28,,,2032,30,,,,
421,2029,24,,,,,2031,3,2032,24,,
422,2029,29,,,,,2032,26,,,,
423,2029,4,2028,24,,,2030,6,2032,24,,
424,2030,7,2028,25,,,2031,25,,,,
425,2028,23,,,,,2030,8,2031,24,,
426,2028,25,,,,,2030,2,2031,25,,
427,2028,21,,,,,2031,22,,,,
428,2028,23,,,,,2031,23,,,,
429,2028,22,,,,,2030,7,2031,22,,
430,2028,25,,,,,2031,25,,,,
431,2028,2,2027,23,,,2031,25,,,,
