timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,6541,237,,,,,6543,237,,,,
1,6541,189,,,,,6543,189,,,,
2,6542,87,6541,111,,,6543,98,6544,111,,
3,6541,234,,,,,6543,234,,,,
4,6540,211,,,,,6542,211,,,,
5,6541,81,6540,111,,,6542,81,6543,111,,
6,6541,174,,,,,6543,174,,,,
7,6542,54,6541,140,,,6543,60,6544,140,,
8,6542,66,6541,198,,,6543,66,6544,198,,
9,6542,51,6541,164,,,6543,51,6544,164,,
10,6543,278,,,,,6545,278,,,,
11,6542,264,,,,,6544,264,,,,
12,6542,81,6541,104,,,6543,81,6544,104,,
13,6542,70,6541,130,,,6543,70,6544,130,,
14,6542,100,6541,187,,,6543,100,6544,187,,
15,6542,52,6541,144,,,6543,62,6544,144,,
16,6542,59,6541,113,,,6543,63,6544,113,,
17,6542,97,6541,137,,,6543,97,6544,137,,
18,6542,97,6541,128,,,6543,97,6544,128,,
19,6541,293,,,,,6543,293,,,,
20,6541,267,,,,,6543,267,,,,
21,6541,251,,,,,6543,251,,,,
22,6542,53,6541,165,,,6543,53,6544,165,,
23,6542,100,6541,178,,,6543,100,6544,178,,
24,6542,206,,,,,6544,206,,,,
25,6542,99,6541,116,,,6543,99,6544,116,,
26,6542,254,,,,,6544,254,,,,
27,6542,184,,,,,6544,184,,,,
28,6542,77,6541,167,,,6543,77,6544,167,,
29,6542,252,,,,,6544,252,,,,
30,6543,210,,,,,6545,210,,,,
31,6543,184,,,,,6545,184,,,,
32,6543,207,,,,,6545,207,,,,
33,6543,72,6542,125,,,6544,72,6545,125,,
34,6543,99,6542,100,,,6544,87,6545,100,,
35,6544,215,,,,,6546,215,,,,
36,6543,191,,,,,6545,191,,,,
37,6543,213,,,,,6545,213,,,,
38,6543,234,,,,,6545,234,,,,
39,6542,187,,,,,6544,187,,,,
40,6542,194,,,,,6544,194,,,,
41,6542,239,,,,,6544,239,,,,
42,6542,206,,,,,6544,206,,,,
43,6542,208,,,,,6544,208,,,,
44,6542,278,,,,,6543,6,6544,278,,
45,6542,281,,,,,6544,281,,,,
46,6542,182,,,,,6544,191,,,,
47,6542,210,,,,,6544,210,,,,
48,6542,228,,,,,6544,228,,,,
49,6542,182,,,,,6544,182,,,,
50,6542,222,,,,,6544,222,,,,
51,6542,169,,,,,6544,169,,,,
52,6542,73,6541,128,,,6543,73,6544,128,,
53,6541,90,6540,155,,,6542,90,6543,155,,
54,6540,296,,,,,6542,296,,,,
55,6540,205,,,,,6542,214,,,,
56,6540,258,,,,,6542,258,,,,
57,6540,178,,,,,6542,178,,,,
58,6540,243,,,,,6542,243,,,,
59,6540,220,,,,,6542,220,,,,
60,6540,188,,,,,6542,188,,,,
61,6540,235,,,,,6542,235,,,,
62,6540,292,,,,,6542,280,,,,
63,6540,228,,,,,6542,228,,,,
64,6540,192,,,,,6541,6,6542,192,,
65,6540,186,,,,,6542,186,,,,
66,6540,81,6539,110,,,6541,81,6542,110,,
67,6540,73,6539,198,,,6541,73,6542,198,,
68,6540,232,,,,,6542,232,,,,
69,6541,56,6540,198,,,6542,50,6543,198,,
70,6541,73,6540,119,,,6542,73,6543,119,,
71,6540,229,,,,,6542,229,,,,
72,6540,217,,,,,6542,217,,,,
73,6540,227,,,,,6542,227,,,,
74,6540,245,,,,,6542,245,,,,
75,6540,55,6539,158,,,6541,55,6542,158,,
76,6539,204,,,,,6541,204,,,,
77,6539,227,,,,,6541,227,,,,
78,6538,187,,,,,6540,187,,,,
79,6539,74,6538,148,,,6540,74,6541,148,,
80,6538,257,,,,,6540,257,,,,
81,6538,233,,,,,6540,233,,,,
82,6538,227,,,,,6540,227,,,,
83,6538,231,,,,,6540,231,,,,
84,6538,51,6537,153,,,6539,51,6540,153,,
85,6538,248,,,,,6540,251,,,,
86,6539,236,,,,,6541,236,,,,
87,6539,207,,,,,6541,207,,,,
88,6540,55,6539,169,,,6541,55,6542,169,,
89,6539,285,,,,,6541,285,,,,
90,6539,237,,,,,6541,237,,,,
91,6539,237,,,,,6541,237,,,,
92,6539,292,,,,,6541,292,,,,
93,6539,103,6538,133,,,6540,94,6541,133,,
94,6539,96,6538,153,,,6540,96,6541,153,,
95,6538,191,,,,,6540,191,,,,
96,6538,259,,,,,6540,259,,,,
97,6538,209,,,,,6539,75,6540,134,,
98,6538,79,6537,135,,,6539,214,,,,
99,6538,250,,,,,6540,250,,,,
100,6538,225,,,,,6540,225,,,,
101,6538,211,,,,,6540,211,,,,
102,6538,261,,,,,6540,268,,,,
103,6538,198,,,,,6540,198,,,,
104,6538,193,,,,,6540,193,,,,
105,6539,69,6538,125,,,6540,194,,,,
106,6539,96,6538,156,,,6540,96,6541,156,,
107,6538,65,6537,167,,,6539,65,6540,167,,
108,6538,266,,,,,6540,266,,,,
109,6539,240,,,,,6541,240,,,,
110,6540,84,6539,193,,,6541,84,6542,193,,
111,6540,50,6539,177,,,6541,50,6542,177,,
112,6541,175,,,,,6543,175,,,,
113,6541,243,,,,,6543,232,,,,
114,6540,192,,,,,6542,192,,,,
115,6540,244,,,,,6542,244,,,,
116,6540,229,,,,,6542,229,,,,
117,6541,61,6540,193,,,6542,61,6543,193,,
118,6541,58,6540,191,,,6542,58,6543,191,,
119,6541,96,6540,116,,,6542,96,6543,116,,
120,6541,96,6540,146,,,6542,96,6543,146,,
121,6541,81,6540,129,,,6542,81,6543,129,,
122,6542,261,,,,,6544,261,,,,
123,6543,68,6542,171,,,6544,68,6545,171,,
124,6543,98,6542,174,,,6544,98,6545,174,,
125,6543,96,6542,196,,,6544,96,6545,196,,
126,6542,225,,,,,6544,225,,,,
127,6542,269,,,,,6544,269,,,,
128,6542,242,,,,,6544,242,,,,
129,6542,189,,,,,6544,189,,,,
130,6542,205,,,,,6544,205,,,,
131,6542,266,,,,,6544,266,,,,
132,6542,194,,,,,6544,194,,,,
133,6542,268,,,,,6543,10,6544,268,,
134,6543,105,6542,153,,,6544,99,6545,153,,
135,6541,233,,,,,6543,233,,,,
136,6541,74,6540,158,,,6542,74,6543,158,,
137,6541,68,6540,112,,,6542,80,6543,112,,
138,6541,58,6540,194,,,6542,58,6543,194,,
139,6540,202,,,,,6542,202,,,,
140,6540,225,,,,,6542,225,,,,
141,6540,234,,,,,6542,234,,,,
142,6540,257,,,,,6542,257,,,,
143,6541,59,6540,187,,,6542,59,6543,187,,
144,6541,84,6540,170,,,6542,84,6543,170,,
145,6541,7,6540,221,,,6542,221,,,,
146,6540,219,,,,,6541,4,6542,219,,
147,6540,252,,,,,6542,255,,,,
148,6540,252,,,,,6542,252,,,,
149,6541,71,6540,193,,,6542,71,6543,193,,
150,6541,271,,,,,6543,271,,,,
151,6541,235,,,,,6543,235,,,,
152,6541,238,,,,,6543,238,,,,
153,6540,206,,,,,6542,206,,,,
154,6540,180,,,,,6542,180,,,,
155,6540,233,,,,,6542,233,,,,
156,6540,195,,,,,6542,195,,,,
157,6540,193,,,,,6542,193,,,,
158,6540,205,,,,,6542,205,,,,
159,6540,94,6539,156,,,6541,94,6542,156,,
160,6540,248,,,,,6542,248,,,,
161,6540,210,,,,,6542,210,,,,
162,6540,207,,,,,6542,207,,,,
163,6540,206,,,,,6541,12,6542,206,,
164,6540,221,,,,,6542,221,,,,
165,6540,185,,,,,6542,185,,,,
166,6540,194,,,,,6542,194,,,,
167,6540,194,,,,,6542,194,,,,
168,6540,201,,,,,6542,201,,,,
169,6540,191,,,,,6542,183,,,,
170,6541,62,6540,184,,,6542,62,6543,184,,
171,6541,253,,,,,6543,253,,,,
172,6540,198,,,,,6542,198,,,,
173,6540,216,,,,,6542,216,,,,
174,6541,90,6540,118,,,6542,90,6543,118,,
175,6540,235,,,,,6542,235,,,,
176,6541,72,6540,140,,,6542,212,,,,
177,6540,196,,,,,6542,196,,,,
178,6540,252,,,,,6542,252,,,,
179,6540,235,,,,,6542,235,,,,
180,6540,204,,,,,6542,204,,,,
181,6540,76,6539,170,,,6541,88,6542,170,,
182,6540,106,6539,140,,,6541,95,6542,140,,
183,6539,199,,,,,6541,199,,,,
184,6539,194,,,,,6541,194,,,,
185,6540,93,6539,112,,,6541,93,6542,112,,
186,6539,237,,,,,6541,237,,,,
187,6539,239,,,,,6540,9,6541,239,,
188,6539,254,,,,,6541,254,,,,
189,6539,225,,,,,6541,225,,,,
190,6539,245,,,,,6541,245,,,,
191,6539,229,,,,,6541,229,,,,
192,6539,259,,,,,6541,259,,,,
193,6539,268,,,,,6541,268,,,,
194,6539,241,,,,,6541,241,,,,
195,6539,203,,,,,6541,203,,,,
196,6539,272,,,,,6541,272,,,,
197,6539,82,6538,115,,,6540,82,6541,115,,
198,6538,61,6537,143,,,6539,61,6540,143,,
199,6538,170,,,,,6540,170,,,,
200,6538,229,,,,,6540,229,,,,
201,6538,254,,,,,6540,254,,,,
202,6538,218,,,,,6540,218,,,,
203,6538,237,,,,,6540,237,,,,
204,6538,251,,,,,6540,251,,,,
205,6538,276,,,,,6540,276,,,,
206,6538,220,,,,,6540,220,,,,
207,6539,67,6538,157,,,6540,67,6541,157,,
208,6540,47,6539,200,,,6541,59,6542,200,,
209,6540,247,,,,,6542,247,,,,
210,6539,246,,,,,6541,246,,,,
211,6539,95,6538,198,,,6540,95,6541,198,,
212,6538,246,,,,,6540,246,,,,
213,6538,85,6537,150,,,6539,85,6540,150,,
214,6537,242,,,,,6539,242,,,,
215,6538,58,6537,168,,,6539,58,6540,168,,
216,6537,274,,,,,6539,274,,,,
217,6537,254,,,,,6539,254,,,,
218,6538,260,,,,,6540,260,,,,
219,6538,244,,,,,6540,244,,,,
220,6538,87,6537,107,,,6539,87,6540,107,,
221,6538,54,6537,151,,,6539,54,6540,151,,
222,6537,82,6536,200,,,6538,82,6539,200,,
223,6536,254,,,,,6538,254,,,,
224,6536,224,,,,,6538,224,,,,
225,6536,255,,,,,6538,255,,,,
226,6537,11,6536,237,,,6538,237,,,,
227,6537,94,6536,117,,,6538,211,,,,
228,6537,54,6536,154,,,6538,54,6539,154,,
229,6537,55,6536,146,,,6538,55,6539,146,,
230,6537,68,6536,165,,,6538,68,6539,165,,
231,6537,109,6536,152,,,6538,100,6539,152,,
232,6537,212,,,,,6539,212,,,,
233,6537,206,,,,,6539,206,,,,
234,6537,259,,,,,6539,259,,,,
235,6537,192,,,,,6539,192,,,,
