timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,4274,104,,,,,4276,104,,,,
1,4275,48,4274,52,,,4276,100,,,,
2,4275,65,4274,98,,,4276,163,,,,
3,4275,53,4274,64,,,4276,117,,,,
4,4274,107,,,,,4275,53,4276,54,,
5,4274,121,,,,,4275,40,4276,81,,
6,4274,117,,,,,4276,117,,,,
7,4274,110,,,,,4275,110,,,,
8,4274,45,4273,66,,,4275,111,,,,
9,4274,63,4273,51,,,4275,114,,,,
10,4274,48,4273,81,,,4275,129,,,,
11,4274,59,4273,80,,,4275,139,,,,
12,4273,144,,,,,4275,144,,,,
13,4273,132,,,,,4275,132,,,,
14,4273,141,,,,,4275,141,,,,
15,4273,105,,,,,4274,43,4275,62,,
16,4273,125,,,,,4275,125,,,,
17,4274,144,,,,,4275,144,,,,
18,4274,162,,,,,4275,162,,,,
19,4274,48,4273,100,,,4275,148,,,,
20,4274,60,4273,98,,,4275,158,,,,
21,4273,109,,,,,4275,109,,,,
22,4273,98,,,,,4275,98,,,,
23,4273,141,,,,,4274,41,4275,100,,
24,4273,100,,,,,4274,51,4275,56,,
25,4273,155,,,,,4275,155,,,,
26,4274,137,,,,,4275,137,,,,
27,4274,119,,,,,4275,119,,,,
28,4274,42,4273,77,,,4275,119,,,,
29,4274,149,,,,,4275,149,,,,
30,4274,126,,,,,4275,126,,,,
31,4274,129,,,,,4276,129,,,,
32,4274,99,,,,,4275,99,,,,
33,4274,117,,,,,4275,117,,,,
34,4274,125,,,,,4275,125,,,,
35,4274,100,,,,,4275,100,,,,
36,4274,35,4273,67,,,4275,102,,,,
37,4274,65,4273,89,,,4275,154,,,,
38,4274,35,4273,91,,,4275,126,,,,
39,4273,132,,,,,4275,132,,,,
40,4273,102,,,,,4275,102,,,,
41,4273,120,,,,,4274,120,,,,
42,4273,49,4272,87,,,4274,136,,,,
43,4273,47,4272,68,,,4274,115,,,,
44,4273,122,,,,,4274,122,,,,
45,4273,4,4272,141,,,4274,141,,,,
46,4273,46,4272,64,,,4274,110,,,,
47,4271,129,,,,,4272,63,4273,66,,
48,4271,138,,,,,4272,58,4273,80,,
49,4271,117,,,,,4272,121,,,,
50,4271,111,,,,,4272,111,,,,
51,4271,52,4270,55,,,4272,107,,,,
52,4271,51,4270,73,,,4272,124,,,,
53,4271,54,4270,90,,,4272,144,,,,
54,4271,149,,,,,4272,50,4273,99,,
55,4271,136,,,,,4272,136,,,,
56,4271,147,,,,,4272,147,,,,
57,4271,50,4270,75,,,4272,125,,,,
58,4271,141,,,,,4272,141,,,,
59,4271,112,,,,,4272,112,,,,
60,4271,55,4270,84,,,4272,139,,,,
61,4271,125,,,,,4272,46,4273,79,,
62,4271,135,,,,,4272,52,4273,83,,
63,4271,103,,,,,4272,4,4273,103,,
64,4271,140,,,,,4272,61,4273,79,,
65,4271,98,,,,,4272,35,4273,63,,
66,4271,55,4270,81,,,4272,136,,,,
67,4271,135,,,,,4272,135,,,,
68,4271,109,,,,,4272,109,,,,
69,4271,106,,,,,4272,97,,,,
70,4271,51,4270,73,,,4272,124,,,,
71,4271,142,,,,,4272,142,,,,
72,4271,54,4270,69,,,4272,123,,,,
73,4270,157,,,,,4272,157,,,,
74,4270,138,,,,,4272,138,,,,
75,4270,106,,,,,4271,51,4272,55,,
76,4270,141,,,,,4271,61,4272,89,,
77,4270,129,,,,,4272,129,,,,
78,4270,118,,,,,4271,62,4272,56,,
79,4270,110,,,,,4271,36,4272,74,,
80,4270,111,,,,,4271,46,4272,65,,
81,4270,137,,,,,4271,57,4272,80,,
82,4270,157,,,,,4272,157,,,,
83,4270,137,,,,,4271,57,4272,80,,
84,4270,94,,,,,4271,43,4272,51,,
85,4270,128,,,,,4271,59,4272,69,,
86,4270,104,,,,,4271,36,4272,68,,
87,4270,126,,,,,4271,126,,,,
88,4270,111,,,,,4271,111,,,,
89,4270,137,,,,,4271,137,,,,
90,4270,128,,,,,4271,128,,,,
91,4270,102,,,,,4271,102,,,,
92,4270,161,,,,,4271,63,4272,98,,
93,4270,155,,,,,4271,61,4272,94,,
94,4270,153,,,,,4271,153,,,,
95,4270,119,,,,,4271,51,4272,63,,
96,4270,125,,,,,4271,64,4272,61,,
97,4270,135,,,,,4271,135,,,,
98,4270,126,,,,,4271,126,,,,
99,4270,132,,,,,4271,132,,,,
100,4270,152,,,,,4271,64,4272,88,,
101,4270,113,,,,,4271,113,,,,
102,4270,151,,,,,4271,151,,,,
103,4270,113,,,,,4271,113,,,,
104,4270,118,,,,,4272,118,,,,
105,4270,121,,,,,4272,121,,,,
106,4270,131,,,,,4271,131,,,,
