timestamp,price,quantity
10,4275,7
14,4273,6
24,4273,7
33,4274,7
36,4275,5
49,4271,4
68,4271,5
76,4270,9
80,4270,6
86,4270,5
93,4271,7
95,4271,5
108,4270,6
127,4267,10
133,4267,7
154,4267,6
163,4268,8
185,4270,9
191,4269,8
194,4268,5
195,4268,6
198,4269,7
211,4272,8
241,4272,5
251,4270,5
251,4271,7
252,4272,8
270,4272,6
284,4274,7
301,4273,5
328,4278,7
337,4278,8
352,4277,8
375,4277,8
397,4277,5
398,4276,6
426,4277,4
435,4275,8
442,4275,8
496,4272,7
513,4274,5
527,4273,6
538,4272,7
553,4273,5
601,4273,6
606,4272,5
614,4274,6
626,4273,7
656,4273,5
665,4272,5
674,4272,5
676,4272,9
685,4274,7
710,4274,8
719,4275,5
721,4274,8
722,4276,7
724,4275,6
739,4275,5
752,4272,6
759,4272,8
771,4272,7
775,4273,8
779,4275,7
785,4274,8
789,4272,4
791,4273,8
835,4271,8
840,4271,7
850,4272,8
870,4274,5
902,4272,7
913,4272,8
915,4271,9
940,4274,6
946,4273,8
955,4273,7
961,4271,7
964,4272,5
985,4270,9
987,4270,8
988,4270,7
994,4270,6
1003,4269,5
1017,4267,6
1021,4268,8
1022,4268,8
1023,4267,6
1041,4268,5
1048,4267,8
1066,4264,8
1072,4266,9
1081,4268,6
1086,4266,6
1093,4267,7
1114,4266,5
1120,4267,7
1131,4266,8
1147,4266,9
1192,4265,5
1211,4268,5
1213,4268,6
1223,4266,10
1230,4266,6
1247,4266,8
1250,4266,8
1254,4266,8
1255,4266,7
1269,4267,7
1283,4268,8
1294,4269,7
1295,4268,6
1300,4270,5
1307,4269,4
1310,4269,7
1323,4270,7
1334,4271,8
1342,4273,5
1366,4274,7
1370,4273,5
1390,4274,8
1407,4273,4
1412,4273,8
1430,4274,6
1454,4274,6
1468,4273,8
1475,4274,7
1479,4274,6
1502,4279,8
1517,4280,7
1538,4281,6
1574,4278,4
1601,4281,8
1615,4280,7
1630,4278,8
1633,4279,5
1670,4282,6
1678,4281,5
1680,4282,6
1701,4282,8
1717,4279,8
1729,4280,5
1731,4280,6
1761,4283,7
1793,4282,6
1803,4281,7
1814,4280,7
1815,4280,8
1821,4278,5
1826,4278,8
1850,4277,6
1861,4278,7
1864,4277,6
1869,4278,8
1879,4277,5
1895,4274,6
1913,4277,9
1914,4278,5
1930,4279,6
1931,4278,6
1936,4278,8
1956,4276,5
1966,4275,7
1971,4275,8
2001,4277,8
2024,4275,7
2031,4274,7
2046,4276,8
2051,4274,6
2078,4274,7
2083,4275,7
2092,4275,6
2095,4274,8
2102,4275,6
2105,4275,5
2110,4276,6
2116,4275,6
2118,4275,9
2122,4275,7
2123,4275,8
2130,4275,6
2146,4274,8
2150,4276,5
2154,4275,6
2162,4275,5
2176,4275,8
2179,4276,5
2183,4275,10
2183,4276,7
2188,4274,5
2191,4275,8
2192,4275,5
2201,4274,8
2202,4274,5
2226,4272,6
2248,4273,6
2274,4270,6
2275,4270,8
2284,4272,8
2290,4270,6
2301,4270,8
2305,4272,5
2306,4273,5
2330,4272,8
2332,4271,8
2334,4273,8
2337,4273,8
2344,4271,4
2349,4271,8
2358,4271,8
2381,4272,6
2387,4272,8
2393,4272,7
2398,4273,7
2421,4270,8
2444,4271,6
2445,4271,7
2458,4271,7
2459,4271,6
2463,4271,5
2468,4272,8
2474,4271,6
2493,4270,5
2501,4271,7
2510,4269,6
2516,4270,5
2520,4272,8
2521,4271,4
2544,4270,5
2590,4273,6
2602,4274,8
2607,4273,5
2618,4275,7
2636,4275,8
2639,4275,7
2643,4274,8
2647,4274,7
2654,4274,6
2659,4274,6
2672,4276,6
2693,4274,8
2707,4274,6
2718,4276,7
2720,4274,5
2721,4275,6
2742,4276,8
2744,4277,7
2762,4275,5
2764,4277,7
2778,4277,7
2789,4274,7
2792,4275,7
2804,4273,5
2811,4275,6
2813,4276,8
2817,4277,8
2818,4277,5
2823,4275,7
2852,4275,7
2855,4275,4
2859,4276,4
2869,4277,7
2897,4276,8
2903,4277,5
2921,4277,8
2923,4277,8
2954,4273,6
2968,4273,6
2982,4272,8
3005,4273,6
3016,4274,5
3019,4273,7
3057,4272,6
3064,4273,8
3066,4272,5
3068,4271,5
3085,4272,7
3088,4272,8
3095,4272,7
3104,4270,8
3110,4269,9
3110,4270,6
3113,4270,8
3135,4270,8
3144,4269,6
3153,4271,10
3158,4272,7
3161,4272,5
3168,4272,8
3177,4271,6
3197,4270,4
3214,4273,6
3219,4271,7
3227,4271,5
3272,4270,8
3277,4270,4
3283,4271,9
3284,4270,7
3291,4270,8
3291,4270,6
3294,4271,8
3300,4271,5
3302,4272,5
3311,4271,9
3320,4271,8
3328,4271,6
3330,4270,6
3332,4272,7
3338,4271,4
3338,4271,5
3347,4271,5
3358,4268,8
3359,4268,5
3362,4268,8
3370,4268,5
3402,4269,7
3404,4268,5
3409,4267,7
3419,4267,9
3425,4266,5
3434,4267,7
3461,4266,7
3462,4265,6
3468,4265,7
3506,4265,7
3530,4266,7
3533,4264,5
3542,4263,8
3552,4262,6
3578,4261,7
3584,4261,6
3594,4262,6
3611,4261,6
3623,4263,8
3625,4262,10
3627,4262,8
3630,4262,6
3644,4262,5
3697,4263,8
3706,4262,8
3722,4262,8
3725,4262,7
3763,4263,9
3765,4263,6
3793,4265,8
3807,4263,5
3807,4264,8
3818,4263,6
3827,4263,8
3866,4263,5
3867,4263,8
3895,4265,8
3925,4263,8
3937,4264,7
3939,4264,5
3942,4263,6
3980,4265,5
3980,4266,6
3985,4264,7
3997,4265,7
4007,4264,8
4011,4265,5
4014,4263,5
4020,4263,10
4021,4263,7
4027,4263,4
4063,4262,7
4066,4262,5
4109,4263,6
4111,4264,8
4119,4262,7
4122,4262,5
4128,4264,7
4142,4263,7
4147,4263,5
4191,4259,5
4217,4260,5
4220,4258,5
4237,4258,5
4249,4257,6
4253,4259,4
4269,4258,8
4283,4257,5
4289,4258,8
4292,4260,7
4302,4258,7
4309,4259,7
4338,4261,5
4349,4261,6
4358,4260,7
4367,4263,7
4376,4261,6
4389,4262,7
4442,4265,8
4450,4264,7
4451,4262,5
4474,4263,7
4488,4265,7
4492,4266,6
4513,4266,8
4515,4264,6
4516,4264,8
4520,4266,6
4538,4263,8
4546,4263,8
4548,4264,7
4557,4264,7
4562,4263,8
4564,4262,9
4565,4262,4
4572,4263,7
4573,4263,8
4587,4265,8
4607,4265,5
4618,4264,5
4621,4264,5
4631,4264,9
4632,4264,8
4672,4262,8
4673,4262,5
4674,4262,5
4676,4261,6
4702,4262,7
4709,4262,5
4716,4262,5
4730,4262,5
4737,4261,7
4762,4262,7
4803,4260,6
4816,4258,5
4819,4259,6
4823,4258,8
4826,4258,6
4829,4259,5
4835,4260,8
4857,4260,8
4862,4261,6
4864,4263,8
4874,4262,5
4877,4261,8
4884,4262,4
4891,4263,5
4917,4261,5
4926,4260,7
4928,4260,6
4931,4260,8
4952,4261,8
4957,4261,7
4966,4262,5
4985,4261,5
4990,4263,6
4994,4263,5
4999,4261,7
5004,4259,6
5006,4260,6
5013,4260,8
5017,4258,8
5077,4265,8
5086,4265,8
5096,4266,5
5101,4268,7
5112,4268,5
5122,4268,7
5123,4266,8
5130,4264,10
5130,4264,7
5132,4264,5
5148,4264,7
5160,4265,7
5164,4267,7
5183,4266,8
5198,4265,5
5202,4266,10
5217,4267,5
5222,4268,7
5245,4266,6
5279,4267,6
5281,4268,8
5283,4268,8
5284,4267,4
5291,4267,5
5306,4269,7
5306,4270,7
5317,4267,5
5335,4267,8
5352,4266,6
5359,4265,8
5400,4260,7
5406,4259,10
5413,4260,10
5416,4259,6
5467,4263,5
5473,4264,8
5493,4266,7
5494,4266,6
5499,4265,8
5507,4267,7
5524,4267,7
5538,4265,6
5545,4267,6
5548,4265,8
5553,4265,5
5555,4265,8
5558,4265,5
5566,4266,5
5596,4262,6
5614,4262,5
5618,4263,6
5623,4262,8
5648,4261,5
5667,4263,10
5671,4262,8
5700,4261,8
5724,4262,5
5734,4261,5
5736,4260,10
5777,4260,7
5798,4261,7
5799,4261,7
5810,4261,6
5816,4261,5
5820,4261,8
5823,4261,5
5824,4262,6
5855,4260,5
5868,4259,8
5878,4260,8
5879,4258,8
5886,4259,7
5891,4259,4
5893,4259,8
5904,4258,8
5907,4258,5
5922,4259,7
5927,4258,7
5930,4259,5
5931,4259,4
5934,4259,4
5938,4259,5
5971,4259,6
5984,4259,6
5988,4261,8
5992,4261,8
6002,4259,5
6003,4260,8
6009,4258,8
6011,4258,7
6018,4259,7
6021,4258,5
6024,4258,6
6029,4259,5
6035,4257,7
6043,4259,7
6048,4259,5
6059,4258,7
6059,4258,6
6060,4258,6
6061,4258,6
6074,4259,7
6082,4258,8
6088,4259,5
6097,4257,5
6098,4259,5
6104,4258,8
6118,4257,5
6119,4257,7
6124,4257,7
6168,4257,5
6169,4258,7
6178,4261,5
6198,4258,7
6215,4257,10
6229,4258,6
6230,4259,5
6231,4258,6
6231,4260,6
6233,4260,7
6235,4259,6
6287,4257,7
6289,4257,8
6296,4259,5
6308,4259,5
6315,4258,7
6317,4258,6
6319,4258,5
6339,4259,10
6342,4259,9
6350,4259,10
6353,4259,9
6372,4261,5
6395,4257,8
6395,4257,7
6397,4258,7
6419,4258,8
6430,4258,9
6433,4259,5
6443,4257,9
6444,4258,8
6446,4256,7
6456,4255,5
6463,4256,8
6467,4255,5
6480,4255,6
6494,4255,5
6497,4254,7
6499,4254,6
6515,4253,5
6515,4253,7
6520,4255,8
6532,4253,10
6537,4254,5
6549,4252,6
6567,4255,7
6583,4254,5
6598,4255,5
6610,4254,7
6626,4255,8
6641,4255,7
6644,4255,6
6658,4257,6
6665,4255,5
6684,4256,5
6703,4254,9
6705,4255,7
6710,4255,8
6712,4252,10
6720,4253,7
6731,4251,7
6739,4251,7
6766,4252,3
6792,4252,5
6803,4254,5
6815,4253,7
6849,4255,5
6855,4254,6
6859,4252,4
6860,4252,5
6861,4255,7
6864,4255,7
6865,4254,9
6890,4256,7
6895,4256,8
6896,4256,8
6897,4256,4
6897,4257,6
6903,4256,8
6905,4257,7
6922,4253,6
6958,4256,8
6965,4256,8
6981,4256,5
7004,4258,8
7015,4256,5
7019,4256,6
7037,4254,8
7048,4255,8
7071,4255,7
7075,4257,8
7078,4258,7
7103,4260,6
7107,4260,6
7108,4260,5
7111,4261,7
7112,4261,5
7127,4259,9
7133,4258,8
7134,4258,8
7150,4257,9
7154,4256,7
7163,4257,9
7171,4258,8
7183,4257,5
7187,4256,5
7194,4255,6
7206,4256,6
7212,4256,9
7217,4258,7
7246,4258,6
7264,4260,6
7271,4260,5
7283,4257,6
7288,4259,8
7299,4257,5
7306,4259,8
7312,4259,8
7359,4257,6
7362,4258,7
7366,4255,6
7375,4255,5
7388,4255,8
7389,4255,10
7403,4255,7
7427,4256,10
7435,4255,7
7438,4255,7
7445,4255,6
7465,4257,6
7466,4256,6
7471,4256,6
7478,4256,6
7489,4258,7
7495,4258,7
7500,4259,6
7502,4259,7
7520,4263,6
7525,4263,7
7537,4262,6
7537,4264,8
7548,4263,8
7549,4263,8
7554,4263,7
7555,4262,4
7556,4263,7
7557,4262,10
7560,4265,8
7568,4264,7
7576,4265,7
7581,4266,7
7588,4266,7
7601,4266,5
7614,4265,6
7615,4265,5
7619,4266,7
7624,4266,5
7638,4267,6
7650,4265,7
7651,4265,6
7678,4268,10
7679,4270,5
7719,4276,10
7723,4277,9
7726,4275,7
7745,4275,10
7765,4274,8
7774,4273,10
7788,4274,5
7792,4273,7
7803,4276,6
7806,4275,5
7821,4272,6
7839,4270,8
7864,4268,5
7882,4265,7
7892,4267,7
7895,4265,6
7908,4265,5
7913,4264,8
7921,4264,6
7923,4263,7
7930,4265,5
7940,4265,6
7954,4268,5
7956,4267,6
8023,4264,9
8053,4267,8
8054,4266,10
8063,4267,6
8064,4266,5
8065,4266,6
8066,4266,6
8067,4266,7
8068,4268,7
8086,4268,5
8088,4268,7
8089,4267,10
8092,4268,6
8107,4270,8
8116,4268,9
8124,4269,6
8130,4270,5
8140,4269,5
8153,4269,5
8154,4269,5
8168,4272,8
8206,4269,7
8208,4267,8
8212,4268,4
8227,4272,7
8236,4276,7
8241,4277,8
8257,4277,8
8258,4277,6
8259,4277,7
8260,4276,7
8267,4273,5
8274,4272,7
8289,4274,5
8306,4275,8
8341,4280,7
8356,4277,5
8368,4279,5
8392,4277,8
8397,4276,6
8399,4277,6
8405,4274,7
8415,4273,6
8431,4275,8
8433,4275,7
8439,4275,8
8455,4275,6
8463,4276,5
8469,4274,7
8470,4275,6
8472,4277,7
8479,4276,5
8490,4273,6
8497,4271,7
8498,4272,6
8502,4273,6
8503,4274,8
8506,4276,7
8508,4273,6
8514,4272,4
8520,4271,7
8527,4271,8
8567,4271,6
8585,4275,8
8609,4277,8
8642,4281,7
8644,4283,8
8650,4283,8
8657,4281,6
8673,4282,9
8680,4281,6
8688,4280,6
8706,4282,7
8714,4282,8
8725,4281,8
8735,4283,5
8785,4284,4
8789,4284,5
8803,4285,5
8814,4285,8
8818,4285,5
8819,4285,5
8827,4284,7
8854,4291,7
8862,4291,4
8871,4291,8
8872,4290,7
8875,4290,8
8885,4292,7
8889,4291,10
8894,4290,6
8900,4292,6
8918,4292,8
8924,4293,6
8938,4289,6
8944,4290,5
8945,4290,8
8950,4290,7
8967,4289,6
8974,4288,6
8986,4286,9
8991,4289,5
8993,4288,9
8995,4287,6
8997,4287,7
8997,4288,7
8999,4287,7
9006,4288,5
9012,4289,4
9023,4292,7
9032,4294,5
9038,4293,6
9053,4294,10
9056,4293,7
9064,4297,7
9064,4296,3
9068,4296,8
9076,4295,6
9077,4295,8
9081,4295,7
9082,4295,8
9088,4293,5
9092,4293,6
9114,4293,6
9154,4289,7
9169,4291,5
9189,4289,8
9192,4288,6
9198,4289,6
9215,4288,5
9244,4288,8
9253,4288,7
9259,4287,8
9267,4287,5
9273,4286,6
9275,4285,5
9277,4286,6
9288,4290,6
9289,4291,5
9311,4292,6
9340,4289,6
9343,4289,7
9391,4288,5
9398,4285,6
9403,4284,8
9404,4285,4
9416,4284,6
9418,4283,7
9419,4285,7
9427,4283,7
9432,4284,6
9440,4284,8
9445,4285,5
9448,4285,5
9470,4280,8
9478,4280,6
9479,4282,8
9485,4281,4
9494,4282,8
9495,4282,7
9500,4281,6
9533,4276,4
9534,4277,5
9545,4276,6
9553,4277,7
9561,4277,5
9568,4279,6
9571,4278,6
9579,4277,8
9581,4278,5
9590,4278,5
9628,4277,7
9633,4278,6
9635,4276,7
9637,4278,6
9640,4277,10
9660,4276,8
9661,4276,6
9669,4276,9
9674,4276,5
9676,4275,7
