timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,30252,12,30251,27,,,30258,39,,,,
1,30255,13,30254,20,,,30260,1,30261,32,,
2,30256,1,30255,41,,,30261,16,30262,26,,
3,30256,30,,,,,30262,14,30263,16,,
4,30255,18,30254,15,,,30261,33,,,,
5,30257,1,30256,36,,,30262,17,30263,20,,
6,30256,37,,,,,30262,19,30263,18,,
7,30251,1,30250,41,,,30256,12,30257,30,,
8,30251,1,30250,41,,,30256,1,30257,41,,
9,30249,1,30248,32,,,30254,1,30255,32,,
10,30256,1,30255,45,,,30261,20,30262,26,,
11,30252,15,30251,23,,,30257,1,30258,37,,
12,30252,1,30251,33,,,30257,1,30258,33,,
13,30245,41,,,,,30251,12,30252,29,,
14,30244,44,,,,,30250,15,30251,29,,
15,30244,49,,,,,30250,19,30251,30,,
16,30246,2,30245,32,,,30251,2,30252,32,,
17,30245,33,,,,,30251,11,30252,22,,
18,30244,10,30243,30,,,30250,40,,,,
19,30243,20,30242,29,,,30249,20,30250,29,,
20,30244,2,30243,45,,,30249,22,30250,25,,
21,30244,2,30243,38,,,30249,19,30250,21,,
22,30243,41,,,,,30249,15,30250,26,,
23,30237,43,,,,,30243,22,30244,24,,
24,30236,2,30235,27,,,30241,12,30242,17,,
25,30237,18,30236,21,,,30242,2,30243,37,,
26,30238,17,30237,16,,,30243,1,30244,32,,
27,30238,2,30237,33,,,30243,2,30244,33,,
28,30241,17,30240,23,,,30247,40,,,,
29,30243,16,30242,25,,,30248,2,30249,39,,
30,30247,14,30246,16,,,30252,1,30253,29,,
31,30250,5,30248,1,30247,36,30253,1,30254,36,,
32,30252,5,30249,48,,,30255,19,30256,29,,
33,30248,1,30247,26,,,30253,11,30254,16,,
34,30246,12,30245,19,,,30251,2,30252,29,,
35,30247,46,,,,,30253,18,30254,28,,
36,30244,40,,,,,30250,11,30251,29,,
37,30243,43,,,,,30249,17,30250,26,,
38,30248,5,30245,44,,,30251,17,30252,27,,
39,30241,12,30240,27,,,30246,2,30247,37,,
40,30245,1,30244,32,,,30250,1,30251,32,,
41,30243,22,30242,26,,,30249,48,,,,
42,30243,1,30242,39,,,30248,14,30249,26,,
43,30245,18,30244,16,,,30251,34,,,,
44,30246,20,30245,16,,,30252,36,,,,
45,30245,49,,,,,30252,49,,,,
46,30245,12,30244,23,,,30251,12,30252,23,,
47,30240,36,,,,,30246,18,30247,18,,
48,30240,1,30239,40,,,30245,1,30246,40,,
49,30239,12,30238,27,,,30244,2,30245,37,,
50,30240,1,30238,18,30237,15,30243,1,30244,32,,
51,30235,17,30234,29,,,30241,46,,,,
52,30234,2,30233,41,,,30239,18,30240,25,,
53,30235,12,30234,28,,,30241,40,,,,
54,30236,37,,,,,30242,12,30243,25,,
55,30234,19,30233,21,,,30236,8,30239,1,30240,39
56,30233,2,30232,26,,,30238,2,30239,26,,
57,30232,1,30231,48,,,30237,20,30238,29,,
58,30234,2,30233,46,,,30236,3,30239,2,30240,46
59,30230,19,30229,17,,,30235,2,30236,34,,
60,30231,7,30229,18,30228,23,30235,41,,,,
61,30231,20,30230,19,,,30237,39,,,,
62,30231,1,30230,34,,,30236,12,30237,23,,
63,30233,15,30232,22,,,30239,37,,,,
64,30235,18,30234,24,,,30240,1,30241,41,,
65,30232,27,,,,,30238,12,30239,15,,
66,30230,40,,,,,30236,17,30237,23,,
67,30228,12,30227,17,,,30233,1,30234,28,,
68,30232,15,30231,26,,,30238,15,30239,26,,
69,30236,2,30235,39,,,30241,21,30242,20,,
70,30234,1,30233,38,,,30239,1,30240,38,,
71,30231,15,30230,26,,,30237,41,,,,
72,30231,13,30230,15,,,30237,28,,,,
73,30230,21,30229,22,,,30235,1,30236,42,,
74,30232,30,,,,,30239,30,,,,
75,30227,41,,,,,30233,19,30234,22,,
76,30224,13,30223,25,,,30230,38,,,,
77,30227,14,30226,20,,,30232,1,30233,33,,
78,30225,11,30224,20,,,30231,31,,,,
79,30227,6,30225,2,30224,39,30230,13,30231,28,,
80,30222,2,30221,30,,,30227,2,30228,30,,
81,30220,17,30219,23,,,30226,40,,,,
82,30220,17,30219,15,,,30226,32,,,,
83,30219,46,,,,,30225,19,30226,27,,
84,30219,49,,,,,30226,49,,,,
85,30221,43,,,,,30227,16,30228,27,,
86,30226,2,30225,38,,,30231,20,30232,20,,
87,30227,7,30224,46,,,30230,20,30231,26,,
88,30222,12,30221,24,,,30227,1,30228,35,,
89,30219,26,,,,,30225,11,30226,15,,
90,30220,12,30219,20,,,30226,12,30227,20,,
91,30223,26,,,,,30229,10,30230,16,,
92,30227,12,30226,20,,,30232,2,30233,30,,
93,30223,1,30222,40,,,30228,17,30229,24,,
94,30225,12,30224,19,,,30230,2,30231,29,,
95,30224,2,30223,32,,,30229,12,30230,22,,
96,30225,1,30224,32,,,30230,11,30231,22,,
97,30222,13,30221,27,,,30227,1,30228,39,,
98,30222,18,30221,29,,,30227,2,30228,45,,
99,30225,13,30224,26,,,30231,39,,,,
100,30224,33,,,,,30230,18,30231,15,,
101,30225,38,,,,,30228,6,30231,11,30232,27
102,30227,43,,,,,30233,17,30234,26,,
103,30227,14,30226,22,,,30232,1,30233,35,,
104,30230,36,,,,,30236,11,30237,25,,
105,30232,17,30231,16,,,30234,5,30238,33,,
106,30229,33,,,,,30236,33,,,,
107,30228,16,30227,16,,,30234,32,,,,
108,30227,18,30226,20,,,30233,38,,,,
109,30232,1,30231,40,,,30237,1,30238,40,,
110,30229,12,30228,25,,,30234,1,30235,36,,
111,30228,1,30227,38,,,30233,1,30234,38,,
112,30228,2,30227,29,,,30233,14,30234,17,,
113,30231,2,30230,30,,,30236,2,30237,30,,
114,30233,42,,,,,30239,20,30240,22,,
115,30234,19,30233,16,,,30239,1,30240,34,,
116,30236,50,,,,,30242,22,30243,28,,
117,30241,2,30240,41,,,30246,15,30247,28,,
118,30241,19,30240,19,,,30246,1,30247,37,,
119,30238,15,30237,30,,,30244,45,,,,
120,30239,1,30238,30,,,30244,15,30245,16,,
121,30235,2,30234,29,,,30240,12,30241,19,,
122,30238,2,30237,47,,,30243,22,30244,27,,
123,30236,1,30235,38,,,30241,15,30242,24,,
124,30234,11,30233,22,,,30240,33,,,,
125,30231,1,30230,26,,,30236,1,30237,26,,
