timestamp,price,quantity
23,30238,2
23,30237,1
56,30233,2
134,30232,1
138,30226,2
171,30228,1
201,30228,10
213,30235,4
224,30240,5
253,30241,1
270,30239,1
300,30231,2
300,30234,2
327,30246,1
336,30240,2
374,30260,4
392,30257,10
412,30285,10
424,30287,5
441,30272,6
446,30263,5
448,30254,8
453,30262,5
552,30274,7
554,30274,1
555,30272,2
555,30274,1
578,30276,2
584,30270,8
602,30285,7
620,30292,3
623,30292,7
686,30274,5
697,30257,5
704,30265,7
719,30270,2
725,30268,1
726,30269,4
760,30251,5
769,30246,6
790,30255,1
794,30260,6
807,30275,9
823,30263,8
893,30276,8
921,30267,2
921,30266,1
925,30271,7
928,30275,4
978,30250,2
982,30243,10
1014,30217,7
1015,30217,8
1016,30214,8
1021,30202,7
1040,30225,2
1043,30219,8
1073,30207,9
1146,30215,9
1149,30213,1
1151,30218,3
1151,30215,3
1154,30218,1
1205,30200,9
1210,30200,6
1213,30202,5
1219,30195,2
1244,30192,1
1244,30191,7
1399,30259,2
1453,30264,2
1454,30261,7
1466,30272,2
1470,30270,2
1525,30300,2
1544,30312,2
1549,30316,1
1581,30296,2
1636,30288,2
1636,30288,6
1652,30304,5
1657,30308,7
1668,30308,2
1668,30306,4
1672,30307,1
1705,30300,2
1709,30283,1
1709,30283,4
1743,30262,8
1756,30262,7
1780,30248,1
1803,30250,7
1811,30257,5
1836,30252,6
1899,30233,7
1902,30238,9
1906,30234,1
1923,30232,1
1929,30232,5
1936,30238,2
1936,30238,3
1952,30213,6
1985,30216,6
1992,30224,8
2018,30185,1
2066,30217,10
2132,30225,10
2137,30225,5
2146,30226,9
2159,30204,6
2169,30203,2
2177,30220,6
2189,30233,1
2222,30241,3
2233,30231,3
2236,30233,2
2238,30233,6
2253,30215,8
2265,30200,3
2282,30219,2
2285,30214,1
2320,30199,5
2333,30203,1
2366,30195,8
2388,30190,1
2401,30203,1
2401,30202,1
2424,30225,1
2440,30237,5
2459,30240,2
2485,30234,8
2500,30244,1
2505,30239,2
2514,30242,3
2554,30262,2
2583,30267,2
2583,30266,4
2587,30265,5
2640,30277,1
2649,30266,5
2710,30232,2
2746,30229,5
2761,30222,3
2761,30220,3
2774,30229,10
2780,30240,5
2806,30218,1
2826,30234,2
2827,30233,3
2829,30231,10
2849,30235,2
2850,30235,2
2855,30228,2
2900,30215,1
2909,30198,2
2909,30198,4
2929,30202,7
2943,30200,1
2958,30189,6
2969,30180,5
2982,30179,1
3026,30181,1
3026,30180,3
3045,30162,8
3051,30163,3
3056,30164,6
3060,30172,5
3135,30169,8
3154,30180,2
3154,30179,1
3174,30184,1
3174,30184,4
3197,30187,3
3241,30205,6
3241,30207,2
3295,30217,1
3295,30215,2
3364,30188,2
3411,30186,3
3418,30175,2
3443,30170,1
3447,30171,10
3466,30164,6
3489,30140,2
3502,30140,4
3541,30138,7
3587,30145,2
3587,30142,6
3590,30148,1
3651,30140,2
3652,30136,4
3660,30147,4
3671,30137,8
3692,30149,2
3699,30146,6
3702,30155,2
3705,30160,6
3713,30166,8
3762,30147,2
3792,30142,2
3807,30139,4
3809,30137,1
3823,30118,5
3841,30118,1
3853,30108,1
3867,30117,2
3867,30116,5
3877,30119,1
3877,30118,1
3883,30123,1
3890,30135,1
3907,30144,2
3926,30134,1
3930,30129,1
3945,30122,2
3951,30116,2
3952,30120,2
3985,30102,2
4002,30096,5
4047,30080,2
4048,30078,8
4080,30094,8
4098,30101,2
4101,30106,5
4118,30105,5
4118,30105,5
4118,30105,2
4150,30102,2
4150,30102,2
4167,30094,1
4168,30099,2
4168,30099,5
4217,30083,2
4218,30087,8
4249,30104,5
4270,30102,10
4304,30084,6
4319,30086,9
4338,30084,7
4342,30092,1
4388,30117,1
4388,30116,3
4415,30115,7
4428,30114,1
4449,30102,4
4457,30092,6
4468,30090,2
4479,30094,10
4560,30073,8
4602,30078,6
4624,30094,8
4689,30080,7
4692,30083,8
4762,30052,6
4769,30052,6
4770,30050,6
4778,30050,4
4796,30034,2
4839,30027,7
4865,30035,1
4903,30002,1
4906,30007,1
4917,30014,7
4980,29989,7
4980,29995,10
4996,30002,2
4997,30000,2
5013,29998,8
5029,30011,8
5039,30007,10
5075,30033,1
5087,30035,2
5176,30067,2
5176,30067,2
5239,30071,1
5247,30065,2
5260,30065,5
5277,30063,5
5312,30061,3
5316,30061,1
5338,30061,5
5370,30070,10
5373,30063,8
5384,30060,6
5464,30033,9
5500,30045,8
5523,30060,1
5554,30062,3
5565,30064,1
5613,30033,10
5676,30053,9
5694,30036,2
5732,30025,7
5736,30024,3
5739,30032,10
5760,30023,2
5773,30014,8
5806,30023,5
5815,30030,5
5823,30022,3
5865,30012,7
5873,30013,1
5885,30018,3
5967,30039,6
5998,30056,9
6002,30058,6
6007,30050,6
6028,30050,2
6033,30044,9
6038,30044,8
6053,30051,2
6059,30041,1
6059,30039,2
6060,30039,2
6074,30050,8
6096,30059,1
6104,30047,2
