timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,13409,61,,,,,13410,27,13411,34,,
1,13408,56,,,,,13410,56,,,,
2,13409,62,,,,,13410,62,,,,
3,13408,54,,,,,13410,54,,,,
4,13410,15,13409,46,,,13411,61,,,,
5,13410,20,13409,34,,,13411,54,,,,
6,13410,57,,,,,13412,57,,,,
7,13411,73,,,,,13412,73,,,,
8,13411,67,,,,,13412,22,13413,45,,
9,13412,50,,,,,13413,20,13414,30,,
10,13413,26,13412,40,,,13414,66,,,,
11,13413,67,,,,,13414,67,,,,
12,13412,16,13411,48,,,13413,64,,,,
13,13412,75,,,,,13414,75,,,,
14,13413,76,,,,,13414,76,,,,
15,13412,71,,,,,13414,78,,,,
16,13412,50,,,,,13413,50,,,,
17,13412,59,,,,,13413,22,13414,37,,
18,13413,30,13412,34,,,13414,64,,,,
19,13413,79,,,,,13414,29,13415,50,,
20,13413,67,,,,,13414,67,,,,
21,13414,49,,,,,13415,57,,,,
22,13415,26,13414,42,,,13416,68,,,,
23,13414,61,,,,,13416,61,,,,
24,13415,52,,,,,13416,52,,,,
25,13415,60,,,,,13416,60,,,,
26,13415,61,,,,,13416,5,13417,61,,
27,13415,49,,,,,13416,19,13417,30,,
28,13416,23,13415,34,,,13417,57,,,,
29,13416,69,,,,,13417,69,,,,
30,13417,16,13416,44,,,13418,60,,,,
31,13416,52,,,,,13417,52,,,,
32,13417,78,,,,,13418,78,,,,
33,13415,62,,,,,13416,62,,,,
34,13416,19,13415,46,,,13417,65,,,,
35,13414,76,,,,,13415,76,,,,
36,13414,68,,,,,13416,68,,,,
37,13413,26,13412,39,,,13414,65,,,,
38,13414,77,,,,,13415,77,,,,
39,13414,66,,,,,13415,66,,,,
40,13414,66,,,,,13416,66,,,,
41,13414,72,,,,,13415,26,13416,46,,
42,13415,62,,,,,13416,62,,,,
43,13415,16,13414,47,,,13416,63,,,,
44,13415,51,,,,,13416,16,13417,35,,
45,13416,29,13415,36,,,13417,65,,,,
46,13415,60,,,,,13416,23,13417,37,,
47,13415,65,,,,,13416,18,13417,47,,
48,13415,60,,,,,13416,27,13417,33,,
49,13414,66,,,,,13416,66,,,,
50,13415,51,,,,,13416,51,,,,
51,13416,29,13415,48,,,13417,77,,,,
52,13414,72,,,,,13416,72,,,,
53,13412,62,,,,,13414,62,,,,
54,13412,60,,,,,13413,60,,,,
55,13412,54,,,,,13414,54,,,,
56,13413,16,13412,45,,,13414,61,,,,
57,13413,59,,,,,13414,29,13415,30,,
58,13413,74,,,,,13414,30,13415,44,,
59,13414,50,,,,,13415,50,,,,
60,13414,65,,,,,13415,65,,,,
61,13413,53,,,,,13414,53,,,,
62,13414,67,,,,,13415,67,,,,
63,13413,22,13412,36,,,13414,58,,,,
64,13413,64,,,,,13414,24,13415,40,,
65,13413,55,,,,,13415,55,,,,
66,13414,26,13413,34,,,13415,57,,,,
67,13413,51,,,,,13414,57,,,,
68,13413,71,,,,,13415,71,,,,
69,13414,43,,,,,13415,51,,,,
70,13414,27,13413,36,,,13415,63,,,,
71,13414,61,,,,,13415,61,,,,
72,13414,49,,,,,13415,49,,,,
73,13414,66,,,,,13415,66,,,,
74,13414,56,,,,,13415,56,,,,
75,13414,65,,,,,13415,65,,,,
76,13413,25,13412,45,,,13414,70,,,,
77,13413,53,,,,,13415,53,,,,
78,13413,61,,,,,13415,61,,,,
79,13413,77,,,,,13415,77,,,,
80,13413,55,,,,,13414,18,13415,37,,
81,13413,54,,,,,13415,54,,,,
82,13412,15,13411,40,,,13413,55,,,,
83,13410,27,13409,43,,,13411,70,,,,
84,13410,77,,,,,13412,77,,,,
85,13411,75,,,,,13412,75,,,,
86,13411,67,,,,,13412,58,,,,
87,13411,56,,,,,13412,56,,,,
88,13411,54,,,,,13412,54,,,,
89,13412,63,,,,,13413,15,13414,48,,
90,13411,70,,,,,13412,70,,,,
91,13410,59,,,,,13411,16,13412,43,,
92,13411,20,13410,49,,,13412,69,,,,
93,13410,67,,,,,13412,67,,,,
94,13410,56,,,,,13411,19,13412,37,,
95,13411,22,13410,39,,,13412,61,,,,
96,13411,58,,,,,13412,58,,,,
97,13412,70,,,,,13414,70,,,,
98,13413,78,,,,,13415,78,,,,
99,13413,60,,,,,13414,26,13415,34,,
100,13412,64,,,,,13414,64,,,,
101,13410,76,,,,,13411,27,13412,49,,
102,13410,65,,,,,13412,65,,,,
103,13410,60,,,,,13412,60,,,,
104,13410,70,,,,,13411,25,13412,45,,
105,13410,59,,,,,13412,59,,,,
106,13410,51,,,,,13411,17,13412,34,,
107,13410,65,,,,,13411,16,13412,49,,
108,13410,59,,,,,13411,20,13412,39,,
109,13410,68,,,,,13411,68,,,,
110,13408,71,,,,,13409,71,,,,
111,13409,20,13408,46,,,13410,66,,,,
112,13409,17,13408,48,,,13410,65,,,,
113,13409,54,,,,,13410,20,13411,34,,
114,13409,22,13408,41,,,13410,63,,,,
115,13409,16,13408,33,,,13410,49,,,,
116,13408,66,,,,,13410,66,,,,
117,13409,75,,,,,13410,75,,,,
