timestamp,price,quantity
10,13413,4
11,13414,5
15,13412,7
19,13414,2
21,13414,8
22,13415,3
27,13416,5
35,13415,2
67,13413,6
69,13414,8
69,13414,5
74,13415,1
81,13413,5
93,13410,5
95,13412,4
105,13412,5
122,13414,1
132,13415,8
132,13415,5
134,13416,5
149,13416,5
153,13417,4
157,13418,2
177,13415,10
179,13414,5
186,13411,5
195,13414,5
198,13416,2
201,13416,5
209,13414,3
215,13414,3
222,13417,2
236,13413,5
243,13410,2
257,13410,5
259,13412,2
272,13408,5
273,13408,1
284,13413,1
309,13415,1
312,13417,1
318,13416,4
328,13413,4
334,13412,4
357,13409,1
360,13409,2
364,13411,1
366,13409,5
375,13399,7
376,13400,5
384,13396,5
387,13395,1
389,13394,5
409,13388,5
423,13385,3
425,13386,3
463,13384,3
467,13383,2
470,13387,1
480,13389,3
487,13389,1
502,13388,8
506,13387,5
530,13388,2
545,13384,4
547,13385,5
548,13386,1
553,13385,4
557,13385,1
575,13386,1
576,13385,3
581,13383,4
596,13388,2
600,13386,4
601,13386,4
603,13389,3
614,13390,3
627,13391,5
630,13392,2
636,13391,3
653,13391,1
659,13389,1
680,13384,1
693,13384,5
702,13386,1
709,13386,4
746,13382,4
750,13378,3
751,13379,2
756,13379,5
776,13381,2
783,13376,5
790,13376,5
791,13376,4
797,13378,6
800,13379,2
812,13381,2
824,13376,1
865,13379,3
877,13372,2
882,13370,9
911,13369,3
916,13369,2
925,13369,1
954,13361,3
959,13362,4
980,13364,3
995,13366,4
996,13366,7
1004,13370,5
1014,13376,4
1015,13375,3
1017,13374,3
1019,13374,2
1020,13373,5
1024,13371,4
1031,13375,8
1040,13374,2
1046,13378,11
1073,13371,3
1075,13372,5
1085,13366,3
1095,13366,2
1099,13365,4
1104,13364,3
1115,13363,2
1122,13359,2
1129,13357,2
1144,13357,3
1147,13357,1
1166,13365,3
1168,13366,4
1192,13371,5
1218,13378,1
1234,13380,1
1268,13375,4
1284,13375,3
1294,13366,8
1302,13364,5
1311,13364,3
1314,13364,2
1326,13367,2
1337,13363,4
1358,13367,5
1362,13365,5
1369,13371,2
1376,13370,5
1394,13357,5
1415,13355,3
1418,13358,5
1428,13356,3
1429,13355,5
1436,13357,4
1440,13359,2
1442,13359,5
1446,13363,4
1458,13366,2
1461,13369,4
1488,13372,1
1499,13372,5
1501,13374,1
1502,13376,4
1508,13376,5
1530,13378,1
1538,13381,3
1543,13383,5
1548,13383,7
1560,13381,5
1593,13388,3
1613,13387,2
1619,13390,4
1640,13391,2
1660,13386,11
1661,13386,7
1661,13387,4
1683,13391,3
1717,13387,2
1732,13383,3
1733,13384,2
1734,13384,1
1745,13380,1
1755,13383,2
1765,13382,3
1768,13381,5
1774,13378,2
1776,13379,3
1799,13377,5
1819,13382,10
1824,13382,3
1830,13378,3
1837,13381,1
1838,13382,1
1842,13378,2
1844,13379,5
1862,13380,4
1864,13379,3
1876,13379,1
1881,13375,2
1890,13377,5
1893,13375,8
1903,13378,5
1918,13382,3
1934,13384,3
1961,13381,4
1966,13379,1
1969,13377,2
2008,13383,5
2010,13384,1
2014,13384,2
2055,13380,9
2062,13381,1
2066,13386,2
2071,13385,1
2079,13386,2
2102,13379,3
2107,13378,4
2111,13379,2
2114,13378,4
2122,13377,4
2138,13377,2
2149,13373,1
2153,13373,2
2184,13385,1
2213,13383,4
2232,13384,3
2238,13382,5
2266,13377,1
2291,13376,2
2297,13372,4
2370,13363,5
2377,13365,3
2383,13364,2
2395,13371,4
2396,13370,10
2403,13370,1
2404,13370,3
2410,13370,3
2411,13369,2
2433,13371,4
2436,13370,2
2441,13369,1
2442,13370,1
2456,13372,11
2474,13375,6
2478,13377,3
2479,13376,5
2481,13377,5
2483,13376,11
2489,13375,1
2497,13373,1
2511,13373,5
2514,13370,1
2526,13375,2
2552,13371,2
2569,13371,2
2604,13373,4
2629,13378,1
2634,13379,3
2638,13379,5
2644,13379,1
2661,13381,3
2702,13394,4
2709,13390,2
2715,13390,6
2717,13389,2
2758,13387,4
2759,13387,11
2764,13385,6
2803,13391,4
2808,13389,4
2812,13387,3
2816,13395,2
2819,13402,3
2833,13406,1
2886,13408,4
2891,13405,8
2891,13406,4
2895,13405,3
2901,13404,5
2903,13401,5
2904,13401,3
2913,13399,9
2920,13408,1
2940,13399,3
2968,13397,8
2972,13399,4
2992,13404,1
3012,13403,2
3013,13403,2
3015,13400,5
3026,13397,5
3055,13395,5
3058,13394,4
3062,13395,5
3071,13398,3
3084,13396,2
3105,13412,2
3123,13414,4
3125,13413,1
3135,13413,5
3138,13413,2
3143,13415,5
3159,13409,5
3164,13405,3
3165,13404,3
3166,13403,3
3167,13403,3
3172,13403,3
3184,13402,5
3185,13401,4
3193,13398,5
3200,13396,6
3204,13395,2
3212,13397,3
3230,13394,5
3231,13394,1
3247,13389,1
3248,13391,1
3263,13396,2
3264,13398,3
3271,13400,1
3274,13400,4
3298,13396,1
3301,13397,4
3320,13399,4
3384,13397,4
3389,13397,5
3394,13396,9
3394,13397,3
3398,13397,4
3399,13398,4
3400,13395,3
3410,13399,5
3439,13393,2
3443,13395,5
3449,13397,5
3454,13396,5
3471,13402,1
3488,13396,3
3504,13395,1
3516,13391,11
3522,13393,4
3533,13395,4
3549,13398,4
3561,13398,4
3562,13397,5
3590,13392,4
3600,13388,3
3602,13390,5
3632,13388,1
3635,13389,2
3643,13389,5
3653,13390,4
3658,13391,3
3665,13392,2
3679,13392,1
3680,13393,4
3685,13392,2
3699,13390,2
3700,13387,1
3703,13385,4
3709,13385,4
3723,13385,3
3728,13387,3
3740,13388,1
3747,13391,4
3761,13389,1
3777,13388,5
3784,13389,5
3793,13392,5
3798,13392,5
3800,13392,9
3801,13392,4
3815,13391,3
3847,13397,3
3849,13396,4
3878,13400,5
3880,13400,10
3881,13401,7
3900,13399,4
3904,13396,5
3922,13396,2
3935,13398,5
3964,13405,5
3967,13406,8
3971,13409,3
4014,13411,3
4037,13412,5
4039,13414,1
4050,13409,8
4061,13409,3
4107,13424,1
4117,13423,3
4119,13423,3
4126,13424,5
4147,13426,1
4150,13426,3
4153,13426,3
4156,13426,1
4164,13428,5
4211,13420,4
4212,13420,4
4213,13420,4
4244,13422,5
4246,13425,4
4275,13428,1
4278,13429,4
4284,13429,4
4293,13431,3
4333,13422,3
4346,13421,5
4349,13419,1
4369,13414,3
4393,13405,5
4409,13402,2
4411,13401,5
4414,13404,3
4417,13403,2
4424,13408,1
4435,13409,4
4461,13410,3
4464,13410,4
4469,13407,4
4472,13407,1
4473,13405,1
4508,13405,2
4516,13406,3
4523,13403,3
4531,13405,2
4535,13403,2
4536,13402,3
4538,13402,4
4547,13399,2
4549,13398,10
4555,13398,6
4565,13400,1
4586,13395,2
4587,13394,2
4611,13403,3
4614,13402,2
4620,13402,4
4622,13401,4
4631,13398,3
4634,13399,5
4641,13399,4
4663,13403,3
4673,13402,4
4688,13400,3
4691,13400,4
4698,13398,3
4718,13395,3
4720,13397,1
4729,13398,1
4737,13397,4
4743,13397,4
4748,13395,1
4752,13395,1
4754,13397,2
4757,13400,3
4766,13399,5
4770,13400,3
4777,13401,2
4786,13398,3
4790,13396,4
4824,13392,2
4825,13393,2
4835,13393,5
4843,13393,5
4852,13393,1
4862,13392,1
4869,13392,2
4889,13389,4
4890,13388,4
4893,13388,2
4895,13386,3
4900,13385,5
4910,13386,8
4911,13388,1
4912,13388,4
4914,13387,2
4921,13389,4
4922,13388,4
4932,13382,5
4940,13382,2
4959,13385,6
4961,13384,1
4990,13380,4
4998,13384,2
5000,13383,1
5020,13377,5
5031,13369,1
5036,13370,4
5046,13374,3
5055,13370,3
5057,13369,3
5064,13368,2
5089,13371,1
5099,13371,4
5101,13373,1
5112,13374,2
5119,13376,1
5136,13377,1
5142,13376,2
5152,13377,1
5174,13373,4
5180,13377,3
5196,13373,5
5204,13373,3
5221,13376,9
5225,13378,4
5226,13378,2
5229,13376,3
5245,13379,3
5263,13380,2
5273,13382,2
5279,13384,1
5283,13384,5
5287,13383,1
5294,13379,1
5316,13382,5
5319,13382,1
5329,13381,1
5333,13381,4
5363,13386,1
5376,13389,4
5380,13389,3
5393,13386,4
5409,13390,1
5414,13393,5
5415,13392,4
5437,13394,4
5443,13394,3
5456,13396,4
5458,13396,3
5483,13392,5
5495,13396,1
5497,13397,5
5511,13399,2
5515,13397,4
5524,13399,5
5529,13396,4
5529,13396,1
5535,13396,5
5538,13400,5
5540,13398,4
5543,13395,2
5545,13395,4
5558,13390,1
5565,13390,5
5568,13387,1
5574,13385,5
5593,13376,1
5597,13373,9
5601,13372,7
5608,13377,9
5621,13379,1
5645,13374,2
5646,13374,1
5664,13372,4
5665,13371,10
5677,13367,5
5688,13369,3
5693,13364,4
5695,13366,2
5702,13366,5
5715,13369,4
5747,13372,5
5758,13372,1
5803,13360,10
5811,13360,5
5823,13363,3
5829,13362,1
5835,13360,1
5867,13361,2
5871,13362,1
5872,13364,3
5886,13360,3
5892,13362,4
5920,13366,4
5934,13365,4
5947,13366,5
5997,13373,5
6002,13372,4
6002,13373,2
6005,13373,5
6017,13374,4
6024,13374,1
6031,13376,4
6041,13375,4
6052,13376,5
6053,13376,3
6054,13375,4
6061,13376,1
6065,13383,3
6080,13382,2
6085,13381,3
6088,13382,4
6092,13382,5
6131,13379,1
6154,13376,3
6159,13374,2
6172,13375,1
6177,13377,3
6179,13376,8
6195,13378,4
6207,13380,1
6217,13383,3
6230,13385,5
6248,13381,1
6274,13377,1
6280,13377,4
6282,13376,5
6295,13383,1
6306,13385,3
6308,13384,2
6313,13384,9
6320,13385,2
6338,13383,5
6364,13378,5
6370,13379,2
6401,13381,1
6402,13381,1
6407,13380,5
6464,13374,1
6493,13381,5
6500,13382,4
6502,13383,5
6506,13383,3
6508,13382,3
6515,13385,5
6534,13387,2
6551,13389,4
6567,13384,2
6570,13385,4
6571,13384,3
6572,13385,5
6575,13387,5
6600,13389,5
6606,13386,4
6614,13385,3
6623,13387,2
6631,13387,2
6636,13387,4
6646,13386,2
6656,13388,1
6660,13387,1
6664,13388,5
6670,13386,2
6680,13387,1
6683,13386,2
6686,13384,3
6698,13382,7
6706,13383,2
6711,13384,3
6721,13382,11
6724,13383,2
6727,13383,5
6732,13382,4
6745,13381,4
6751,13380,4
6775,13393,2
6778,13389,5
6817,13391,4
6843,13379,1
6847,13377,2
6853,13376,9
6856,13377,3
6857,13379,3
6859,13376,5
6864,13375,5
6865,13376,5
6866,13375,1
6892,13376,3
6899,13382,5
6916,13374,4
6922,13376,4
6950,13369,4
6953,13369,1
6959,13368,2
6976,13366,2
