timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3
0,9998,1,9995,30,,,10005,30,,,,
1,9996,1,9995,30,,,10002,6,10004,1,10005,30
2,9996,1,9995,21,,,10004,1,10005,21,,
3,9996,2,9995,23,,,9998,3,10004,2,10005,23
4,9998,5,9996,2,9995,23,10004,2,10005,23,,
5,10002,1,9996,2,9995,22,10004,2,10005,22,,
6,9996,2,9995,24,,,10002,9,10004,2,10005,24
7,9998,7,9995,27,,,10005,27,,,,
8,9995,26,,,,,10005,26,,,,
9,9996,2,9995,27,,,10004,2,10005,27,,
10,9996,2,9995,26,,,10004,2,10005,26,,
11,9996,2,9995,23,,,10004,2,10005,23,,
12,9998,9,9996,2,9995,28,10004,2,10005,28,,
13,9996,1,9995,27,,,10004,1,10005,27,,
14,9996,2,9995,24,,,10004,2,10005,24,,
15,10002,1,9996,2,9995,20,10004,2,10005,20,,
16,9996,1,9995,22,,,10004,1,10005,22,,
17,9995,27,,,,,10005,27,,,,
18,9996,2,9995,25,,,10004,2,10005,25,,
19,9996,2,9995,29,,,10004,2,10005,29,,
20,9996,1,9995,25,,,10002,7,10004,1,10005,25
21,9995,23,,,,,10005,23,,,,
22,9996,2,9995,30,,,10004,2,10005,30,,
23,9996,2,9995,22,,,10004,2,10005,22,,
24,9998,4,9996,2,9995,23,10004,2,10005,23,,
25,9996,1,9995,20,,,10004,1,10005,20,,
26,9995,25,,,,,10005,25,,,,
27,9998,4,9996,1,9995,24,10004,1,10005,24,,
28,9998,5,9995,29,,,10005,29,,,,
29,10002,10,9996,2,9995,23,10004,2,10005,23,,
30,9996,2,9995,29,,,10004,2,10005,29,,
31,9996,2,9995,26,,,10004,2,10005,26,,
32,9996,2,9995,30,,,10002,6,10004,2,10005,30
33,9996,2,9995,26,,,10004,2,10005,26,,
34,9996,2,9995,27,,,10004,2,10005,27,,
35,9996,2,9995,28,,,10002,9,10004,2,10005,28
36,9995,21,,,,,9998,1,10005,21,,
37,9996,2,9995,29,,,10000,5,10002,7,10004,2
38,10002,1,9996,1,9995,29,10004,1,10005,29,,
39,9998,1,9995,25,,,10005,25,,,,
40,10002,9,9996,2,9995,27,10004,2,10005,27,,
41,9996,1,9995,23,,,10004,1,10005,23,,
42,9996,2,9995,26,,,10004,2,10005,26,,
43,9996,2,9995,29,,,10004,2,10005,29,,
44,9996,1,9995,26,,,9998,1,10004,1,10005,26
45,9995,27,,,,,10005,27,,,,
46,9996,1,9995,21,,,10004,1,10005,21,,
47,9998,4,9996,1,9995,26,10004,1,10005,26,,
48,10002,3,9996,1,9995,24,10004,1,10005,24,,
49,9995,22,,,,,9998,4,10005,22,,
